GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 1/4 mile time(s),Absolute Throttle Position B(%),Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Accelerator PedalPosition D(%),Accelerator PedalPosition E(%),Accelerator PedalPosition F(%),Actual engine % torque(%),Ambient air temp(°F),Average trip speed(whilst moving only)(mph),Barometric pressure (from vehicle)(psi),Drivers demand engine % torque(%),Engine RPM(rpm),Fuel pressure(psi),GPS Altitude(ft),GPS Latitude(°),GPS Longitude(°),Relative Throttle Position(%),Speed (GPS)(mph),Speed (OBD)(mph),Torque(Nm)
Sun Nov 26 19:32:29 EST 2017,32:28.7,-76.0423719,36.77643322,11,10,-32.70000076,47.7,8.19774628,2.98796368,5.05655384,0.01956089,-,15.29411793,0.02382502,0.83565199,0.28896379,0.4154489,23.92156982,23.92156982,-,-,41,20.98879623,14.64881134,-,1383,-,-107.2834702,36.77643204,-76.04237366,5.49019623,24.60629845,24.23347664,-
Sun Nov 26 19:32:30 EST 2017,32:29.7,-76.04227585,36.7765006,10.75,9,-32.40000153,51.6,7.89128876,2.56658411,4.94163227,0.00040284,-,14.90196133,-0.0096751,0.8083176,0.27724904,0.39982924,23.92156982,23.92156982,-,-,41,20.99372101,14.64881134,-,1371,-,-106.2992172,36.7765007,-76.04227448,5.09803915,24.04706573,23.61210442,-
Sun Nov 26 19:32:31 EST 2017,32:30.7,-76.04217927,36.77655364,10.5,9,-32.40000153,54.6,8.04451752,3.14119267,5.55454779,0.03389743,-,14.90196133,-0.02867026,0.77317333,0.34363261,0.37639979,24.31372643,25.09803963,-,-,41,21.00118446,14.64881134,-,1333,-,-106.2992172,36.77655411,-76.04218292,5.09803915,23.48783112,22.9907341,-
Sun Nov 26 19:32:32 EST 2017,32:31.7,-76.04207681,36.77660459,10.5,9,-32.70000076,59.8,8.27436066,2.14520478,4.78840351,0.01775044,-,16.47058868,-0.05035536,0.79269797,0.24600971,0.36078009,25.88235283,25.88235283,-,-,41,21.00489616,14.64881134,-,1369,-,-107.2834702,36.7766037,-76.04207611,6.66666698,23.48783112,22.9907341,-
Sun Nov 26 19:32:33 EST 2017,32:32.7,-76.04198158,36.77665012,10.25,10,-32.20000076,60.4,7.85298157,2.45166254,4.25210238,-0.01208542,-,17.25490189,-0.03677071,0.82003236,0.22258021,0.35297027,28.23529434,28.62745094,-,-,41,21.00859451,14.64881134,-,1356,-,-105.6430435,36.77664948,-76.04198456,7.45098066,22.9285965,22.9907341,-
Sun Nov 26 19:32:34 EST 2017,32:33.7,-76.04187771,36.77669062,10.5,9,-31.89999962,62.9,8.35097599,2.33674097,4.55855989,0.0063915,-,17.64705849,0.00035085,0.84736669,0.22648512,0.38030469,28.62745094,29.01960754,-,-,41,21.0171032,14.64881134,-,1370,-,-104.6587906,36.77669144,-76.04187775,8.23529434,23.48783112,23.61210442,-
Sun Nov 26 19:32:35 EST 2017,32:34.7,-76.04177073,36.77673061,10.5,10,-31.20000076,66.3,7.92959595,2.94965649,4.5202527,-0.00791426,-,17.64705849,-0.00537791,0.81612742,0.29677361,0.3842096,28.62745094,28.62745094,-,-,41,21.02190781,14.64881134,-,1370,-,-102.3622055,36.77672958,-76.04177094,8.23529434,23.48783112,23.61210442,21.05964851
Sun Nov 26 19:32:36 EST 2017,32:35.7,-76.04165924,36.77676389,10.5,10,-31.39999962,68.7,8.1211319,2.22181916,5.17147589,-0.00832643,-,17.64705849,-0.06363187,0.76536351,0.21086545,0.39592433,28.23529434,28.62745094,-,-,41,21.02784348,14.64881134,-,1396,-,-103.0183716,36.77676392,-76.04165649,8.23529434,23.48783112,24.23347664,21.05964851
Sun Nov 26 19:32:37 EST 2017,32:36.7,-76.04154194,36.7767946,10.75,10,-31.29999924,70.9,8.42759037,2.48996973,4.78840351,-0.02406397,-,17.64705849,-0.01763443,0.81222248,0.25772443,0.38811451,28.23529434,28.23529434,-,-,41,21.03964996,14.64881134,-,1408,-,-102.6902847,36.77679443,-76.04154205,8.23529434,24.04706573,24.23347664,24.24372864
Sun Nov 26 19:32:38 EST 2017,32:37.7,-76.04142202,36.77682255,11,10,-30.89999962,75.1,7.69975281,2.83473492,4.48194551,-0.00724484,-,16.47058868,-0.03332346,0.76926845,0.32801294,0.3842096,26.66666794,27.45098114,-,-,41,21.04552078,14.64881134,-,1419,-,-101.3779526,36.77682114,-76.04141998,7.05882359,24.60629845,24.23347664,24.24372864
Sun Nov 26 19:32:39 EST 2017,32:38.7,-76.04129456,36.77684582,11.25,10,-30.39999962,76.9,7.58483076,2.79642749,4.40533113,-0.01992012,-,16.47058868,-0.0391816,0.78879303,0.30848834,0.35297027,26.66666794,26.66666794,-,-,41,21.05137253,14.64881134,-,1409,-,-99.73753357,36.77684402,-76.04129791,7.05882359,25.16553307,24.23347664,24.24372864
Sun Nov 26 19:32:40 EST 2017,32:39.7,-76.04118366,36.77686163,11,9,-31.70000076,81.3,7.77636719,3.33272886,4.71178913,-0.00377278,-,16.47058868,-0.09951829,0.73412424,0.31629819,0.31392109,26.66666794,26.66666794,-,-,41,21.06300735,14.64881134,-,1403,-,-104.0026245,36.7768631,-76.04118347,6.66666698,24.60629845,24.23347664,-
Sun Nov 26 19:32:41 EST 2017,32:40.7,-76.0410675,36.77687583,10.75,10,-31.70000076,83,7.46990919,3.29442143,4.32871675,0.00462886,-,16.07843208,-0.04761972,0.76145858,0.36315718,0.34125552,26.27450943,26.27450943,-,-,41,21.06879044,14.64881134,-,1389,-,-104.0026245,36.77687454,-76.04106903,6.27450991,24.04706573,24.23347664,-
